================================================================================
Model: M1
Layer: 3
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.974, 2.043, 0.978]
Frob: 4.01
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  flushing                      +0.3899     -0.0535     +0.1011
    2  iceberg                       +0.3609     +0.0124     +0.0466
    3  Hab                           -0.3586     -0.0705     +0.0399
    4  Sv                            +0.3496     +0.0351     +0.1669
    5  钝                             -0.3472     -0.0873     -0.0641
    6  之急                            -0.3439     +0.2078     +0.0578
    7  domic                         -0.3439     -0.0183     +0.0023
    8  展開                            +0.3406     -0.1077     -0.0611
    9  Rv                            +0.3400     +0.1009     +0.0271
   10  卖的                            +0.3399     +0.1711     -0.0120
   11  matern                        -0.3387     -0.0196     -0.0738
   12  急                             -0.3369     +0.0656     +0.0527
   13  踐                             +0.3368     +0.0652     +0.0377
   14  sof                           +0.3341     +0.1469     +0.0274
   15  thresholds                    +0.3324     -0.0710     +0.0071
   16  朦                             -0.3305     +0.0381     -0.1385
   17  singular                      -0.3297     -0.0096     +0.0303
   18  Affairs                       -0.3282     +0.2091     -0.1140
   19  Broker                        -0.3280     +0.1569     -0.1927
   20  �                             -0.3273     -0.1585     -0.0188
   21  和生活                           -0.3260     -0.0147     +0.0053
   22  哺                             -0.3249     +0.1505     -0.1175
   23  刁                             -0.3229     -0.0627     +0.0082
   24  LOW                           +0.3227     -0.0310     -0.2505
   25  glass                         -0.3222     +0.0906     +0.0302
   26  段                             -0.3201     -0.1122     -0.0217
   27  Bay                           -0.3200     -0.2124     -0.0348
   28  Ori                           -0.3189     +0.0339     +0.0806
   29  栖                             -0.3184     +0.0488     +0.0175
   30  Biz                           -0.3182     +0.0626     -0.0571
