================================================================================
Model: M2
Layer: 40
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.250, 1.586, 1.018]
Frob: 3.81
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  intuitively                   +0.4101     -0.1239     +0.0626
    2  ‑                             +0.3917     +0.0804     +0.2561
    3  conceptually                  +0.3845     -0.0665     +0.0824
    4  請問                            -0.3811     -0.0229     -0.0160
    5  性质的                           +0.3769     +0.1289     +0.0779
    6  preferences                   +0.3753     +0.1392     +0.0557
    7  psychologically               +0.3682     -0.0543     +0.1596
    8  了整个                           +0.3644     -0.1474     -0.0553
    9  sublime                       -0.3573     -0.0535     -0.1049
   10  ->                            +0.3558     +0.4231     -0.0854
   11  请问                            -0.3526     -0.0010     +0.0280
   12  高高                            -0.3498     +0.0345     -0.0598
   13  Consequences                  +0.3497     -0.2084     -0.0888
   14  磐                             -0.3466     -0.1728     -0.0708
   15  津津                            -0.3436     +0.0748     +0.0672
   16  magnific                      -0.3408     +0.0930     -0.0312
   17  environments                  +0.3359     -0.0522     +0.0339
   18  不知                            -0.3318     +0.0020     +0.0814
   19  KI                            -0.3314     -0.0852     -0.0714
   20  emotionally                   +0.3270     -0.0493     +0.1423
   21  紧凑                            +0.3267     +0.2012     -0.0261
   22  clerical                      -0.3264     -0.0704     +0.0409
   23  Environments                  +0.3250     -0.0141     -0.0317
   24  logically                     +0.3238     -0.1621     -0.0795
   25  soever                        -0.3222     -0.0340     -0.0111
   26  consequences                  +0.3207     -0.2343     -0.0294
   27  favoring                      +0.3190     +0.1125     -0.0220
   28  Unknown                       -0.3182     -0.1831     -0.0727
   29  也不知                           -0.3182     -0.0973     -0.0549
   30  凉                             +0.3181     +0.0886     +0.0757
