================================================================================
Model: M2
Layer: 6
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  �                             +0.4066
    2    128  ieck                          +0.2410
    3    128  ^                             +0.2286
    4    128  �                             +0.2171
    5    128  ivial                         -0.2143
    6    128  ‑                             -0.2072
    7    128  }                             +0.2058
    8    128  their                         -0.1975
    9    128  _pro                          -0.1958
   10    128  745                           +0.1987
   11    128  Their                         -0.1942
   12    128  algebraic                     +0.1918
   13    128  �                             -0.1871
   14    128  algebra                       +0.1879
   15    128  ω                             +0.1883
   16    128  rivals                        +0.1897
   17    128  )                             +0.1986
   18    128  Об                            +0.1857
   19    128  397                           +0.1876
   20    128  997                           +0.1892
   21    128  intuitive                     -0.1846
   22    128  losing                        -0.1853
   23    128  "./                           -0.1827
   24    128  lowest                        -0.1840
   25    128  input                         +0.1806
   26    128  路由                            +0.1779
   27    128  fetch                         +0.1812
   28    128  ⊗                             +0.1772
   29    128  unique                        +0.1817
   30    128  _pre                          -0.1775
   31    128  形态                            -0.1775
   32    128  Ow                            -0.1822
   33    128  reach                         -0.1759
   34    128  Mouse                         -0.1775
   35    128  �                             +0.1751
   36    128  ^{                            -0.1741
   37    128  075                           +0.1776
   38    128  *}                            -0.1812
   39    128  specificity                   +0.1745
   40    128  �                             +0.1720
   41    128  yielding                      +0.1720
   42    128  ﹣                             -0.1712
   43    128  lower                         -0.1802
   44    128  deren                         -0.1718
   45    128  �                             -0.1675
   46    128  व                             +0.1692
   47    128  Their                         -0.1701
   48    128  047                           +0.1694
   49    128  Pot                           -0.1679
   50    128  _CO                           +0.1673
   51    128  Range                         -0.1662
   52    128  theorem                       -0.1689
   53    128  original                      -0.1751
   54    128  igration                      -0.1688
   55    128  降低                            -0.1737
   56    128  北方                            +0.1685
   57    128  loses                         -0.1676
   58    128  lost                          -0.1691
   59    128  /Q                            +0.1681
   60    128  798                           +0.1698
