================================================================================
Model: M2
Layer: 2
Stacked OV circuit (128/128 heads aligned >0.7 with head 100)
Avg head coherence: 0.981
Sigmas: [2.7338, 0.1074, 0.0834, 0.0760, 0.0660]
================================================================================

OUTPUT tokens (Dir 0, through lm_head):
 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  tes                           +1.1227     +0.0120     +0.0015
    2  carbide                       -1.0406     -0.0014     +0.0242
    3  上当                            +0.9891     -0.0208     +0.0019
    4  tene                          +0.9732     +0.0119     -0.0118
    5  梯                             -0.9296     -0.0116     +0.0063
    6  rug                           -0.9210     -0.0069     -0.0026
    7  alal                          +0.9146     -0.0154     -0.0018
    8  окра                          -0.9112     +0.0049     -0.0067
    9  客                             +0.9043     -0.0154     -0.0211
   10  Lipp                          +0.8887     +0.0066     +0.0035
   11  Prim                          +0.8865     -0.0155     -0.0023
   12  nen                           +0.8835     -0.0001     +0.0005
   13  uffy                          +0.8832     -0.0059     -0.0012
   14  地基                            +0.8791     +0.0045     -0.0109
   15  [filtered]                    +0.8762     -0.0017     -0.0110
   16  yg                            -0.8759     +0.0038     -0.0099
   17  pone                          +0.8757     +0.0128     +0.0059
   18  统计分析                          +0.8736     +0.0038     +0.0064
   19  Fowler                        -0.8695     +0.0000     +0.0096
   20  kit                           +0.8693     +0.0120     +0.0003
   21  pul                           -0.8567     -0.0023     +0.0078
   22  -chain                        -0.8515     -0.0003     -0.0017
   23  JW                            -0.8501     -0.0102     -0.0006
   24  pil                           -0.8480     -0.0240     +0.0024
   25  opper                         +0.8464     -0.0009     +0.0215
   26  fet                           +0.8450     -0.0031     -0.0253
   27  princ                         +0.8448     -0.0055     +0.0046
   28  高分                            +0.8399     -0.0072     -0.0060
   29  Provincia                     -0.8375     -0.0008     -0.0005
   30  原地                            +0.8362     -0.0009     -0.0078

INPUT tokens (Dir 0, through kv_a → embed):
 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  #1                            +5.7181     -0.0391     -0.1764
    2  (↵                            +3.8850     -0.0733     +0.0464
    3  如图                            +3.8279     -0.0354     -0.0598
    4  )</                           -3.6768     -0.0512     -0.0182
    5  ({↵                           +3.4119     -0.1177     +0.0646
    6  (↵                            +3.4003     -0.0815     +0.0446
    7  #69933                        -3.3770     -0.0559     -0.0120
    8  ^{(                           +3.2184     -0.0081     -0.0121
    9  →→→→→→→→→→                    -3.2165     -0.0345     -0.0380
   10  →→→→→→                        -3.1464     -0.0385     -0.0620
   11  →→→→→→→→                      -3.1127     -0.0482     -0.0404
   12  →→→→→→→→→                     -3.1029     -0.0549     -0.0477
   13  →→→→→→→→→→→                   -3.0533     -0.0340     -0.0368
   14  ([↵                           +3.0496     -0.0899     +0.0850
   15  →→→→→                         -2.9946     -0.0389     -0.0765
   16  ">↵                           +2.9767     -0.1213     +0.0265
   17  %）                            -2.9664     -0.0378     -0.0189
   18  [↵                            +2.9621     -0.0874     +0.0506
   19  }}\                           -2.9440     -0.0555     -0.0686
   20  #38932                        -2.9374     -0.0425     -0.0375
   21  ({↵                           +2.9365     -0.0838     +0.0585
   22  走进                            +2.9015     -0.0091     -0.0443
   23  】，                            -2.8787     -0.0546     -0.0451
   24  ”；                            -2.8648     -0.0974     -0.0527
   25  ？！                            -2.8567     -0.0211     -0.0324
   26  ()↵                           +2.8561     -0.1163     +0.0173
   27  #68108                        -2.8502     -0.0242     -0.0396
   28  ）；                            -2.8090     -0.0891     -0.0611
   29  →→→→→→→                       -2.8033     -0.0350     -0.0595
   30  ！！！                           -2.7849     -0.0133     -0.0317

OUTPUT tokens (Dir 1):
    1  -ser                       d1=   -0.0400
    2  ERV                        d1=   -0.0365
    3  盎                          d1=   -0.0359
    4  Ton                        d1=   -0.0359
    5  upa                        d1=   +0.0358
    6  王朝                         d1=   -0.0352
    7  pap                        d1=   -0.0351
    8  angers                     d1=   +0.0350
    9  Calab                      d1=   +0.0349
   10  常数                         d1=   -0.0346
   11  Star                       d1=   -0.0346
   12  tapping                    d1=   -0.0345
   13  ifice                      d1=   +0.0344
   14  hops                       d1=   -0.0343
   15  Nathan                     d1=   -0.0342
   16  Star                       d1=   -0.0342
   17  正常                         d1=   -0.0340
   18  tim                        d1=   +0.0338
   19  aban                       d1=   +0.0336
   20  资格的                        d1=   +0.0335
